Strategy report
Symbol: IDCC
Work Time: 8/18/95 - 1/7/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;129.0;$7.75;8/18/95;;($24.19);129.0;
2;keepbusy_cross(SELL);Sell to Close;-129.0;$7.64;9/27/95;($14.38);($14.38);0.0;
3;keepbusy_cross(Buy);Buy to Open;117.0;$8.50;12/1/95;;$29.50;117.0;
4;keepbusy_cross(SELL);Sell to Close;-117.0;$7.62;12/18/95;($102.67);($117.05);0.0;
5;keepbusy_cross(Buy);Buy to Open;123.0;$8.13;1/26/96;;($132.42);123.0;
6;keepbusy_cross(SELL);Sell to Close;-123.0;$8.09;2/15/96;($4.61);($121.66);0.0;
7;keepbusy_cross(Buy);Buy to Open;105.0;$9.50;6/3/96;;($161.03);105.0;
8;keepbusy_cross(SELL);Sell to Close;-105.0;$8.93;6/19/96;($59.83);($181.49);0.0;
9;keepbusy_cross(Buy);Buy to Open;89.0;$11.16;4/5/02;;($193.06);89.0;
10;keepbusy_cross(SELL);Sell to Close;-89.0;$10.51;5/1/02;($57.69);($239.18);0.0;
11;keepbusy_cross(Buy);Buy to Open;49.0;$20.15;3/21/03;;($247.02);49.0;
12;keepbusy_cross(SELL);Sell to Close;-49.0;$23.33;6/25/03;$155.81;($83.37);0.0;
13;keepbusy_cross(Buy);Buy to Open;54.0;$18.40;5/27/05;;($99.57);54.0;
14;keepbusy_cross(SELL);Sell to Close;-54.0;$16.96;6/10/05;($77.72);($161.09);0.0;
15;keepbusy_cross(Buy);Buy to Open;40.0;$24.44;1/27/06;;($167.09);40.0;
16;keepbusy_cross(SELL);Sell to Close;-40.0;$23.98;4/3/06;($18.30);($179.39);0.0;
17;keepbusy_cross(Buy);Buy to Open;36.0;$27.33;5/5/06;;($152.75);36.0;
18;keepbusy_cross(SELL);Sell to Close;-36.0;$25.13;5/18/06;($79.18);($258.57);0.0;
19;keepbusy_cross(Buy);Buy to Open;34.0;$29.01;6/5/06;;($244.29);34.0;
20;keepbusy_cross(SELL);Sell to Close;-34.0;$27.19;7/11/06;($61.92);($320.49);0.0;
21;keepbusy_cross(Buy);Buy to Open;40.0;$24.89;8/8/08;;($306.09);40.0;
22;keepbusy_cross(SELL);Sell to Close;-40.0;$23.60;9/12/08;($51.76);($372.25);0.0;
23;keepbusy_cross(Buy);Buy to Open;37.0;$26.52;12/1/08;;($465.12);37.0;
24;keepbusy_cross(SELL);Sell to Close;-37.0;$22.86;12/8/08;($135.30);($507.55);0.0;
25;keepbusy_cross(Buy);Buy to Open;13.0;$74.27;7/22/11;;($524.58);13.0;
26;keepbusy_cross(SELL);Sell to Close;-13.0;$60.88;9/20/11;($174.07);($681.62);0.0;
27;keepbusy_cross(Buy);Buy to Open;18.0;$54.42;11/6/15;;($680.36);18.0;
28;keepbusy_cross(SELL);Sell to Close;-18.0;$51.16;12/4/15;($58.64);($740.26);0.0;
29;keepbusy_cross(Buy);Buy to Open;20.0;$49.93;2/26/16;;($735.26);20.0;
30;keepbusy_cross(SELL);Sell to Close;-20.0;$54.35;5/16/16;$88.31;($651.95);0.0;
31;keepbusy_cross(Buy);Buy to Open;12.0;$79.05;4/13/18;;($652.55);12.0;
32;keepbusy_cross(SELL);Sell to Close;-12.0;$76.65;4/27/18;($28.80);($680.75);0.0;
33;keepbusy_cross(Buy);Buy to Open;17.0;$57.77;5/1/20;;($720.87);17.0;
34;keepbusy_cross(SELL);Sell to Close;-17.0;$52.09;5/15/20;($96.62);($777.37);0.0;
35;keepbusy_cross(Buy);Buy to Open;13.0;$73.06;4/9/21;;($800.77);13.0;
36;keepbusy_cross(SELL);Sell to Close;-13.0;$67.44;5/13/21;($73.07);($850.44);0.0;
37;keepbusy_cross(Buy);Buy to Open;13.0;$72.62;12/27/21;;($841.08);13.0;
38;keepbusy_cross(SELL);Sell to Close;-13.0;$70.10;1/7/22;($32.79);($883.24);0.0;
Max trade P/L: $155.81;Total P/L: ($883.24);Total order(s): 19;
